,_id,CATEGORY,DASH_CATEGORY
765,5f2bca28ba0be61b0c1cd4d0,NULL,M1
776,5f2bca28ba0be61b0c1cd551,NULL,M1
778,5f2bca28ba0be61b0c1cd553,NULL,M1
779,5f2bca29ba0be61b0c1cd567,NULL,M1
780,5f2bca29ba0be61b0c1cd57d,NULL,M1
782,5f2bca29ba0be61b0c1cd592,NULL,M1
793,5f2bca29ba0be61b0c1cd607,NULL,M1
794,5f2bca29ba0be61b0c1cd619,NULL,M1
795,5f2bca29ba0be61b0c1cd61b,NULL,M1
798,5f2bca29ba0be61b0c1cd631,NULL,M1
805,5f2bca29ba0be61b0c1cd69a,NULL,M1
806,5f2bca29ba0be61b0c1cd6b3,NULL,M1
807,5f2bca29ba0be61b0c1cd6cf,NULL,M1
809,5f2bca29ba0be61b0c1cd6de,NULL,M1
810,5f2bca29ba0be61b0c1cd6e5,NULL,M1
812,5f2bca29ba0be61b0c1cd6f0,NULL,M1
814,5f2bca29ba0be61b0c1cd70b,NULL,M1
820,5f2bca29ba0be61b0c1cd75b,NULL,M1
826,5f2bca29ba0be61b0c1cd78d,NULL,M1
831,5f2bca29ba0be61b0c1cd7c2,NULL,M1
838,5f2bca2aba0be61b0c1cd84e,NULL,M1
840,5f2bca2aba0be61b0c1cd857,NULL,M1
843,5f2bca2aba0be61b0c1cd8ac,NULL,M1
849,5f2bca2aba0be61b0c1cd91f,NULL,M1
852,5f2bca2aba0be61b0c1cd97c,NULL,M1
853,5f2bca2aba0be61b0c1cd97d,NULL,M1
857,5f2bca2aba0be61b0c1cd9e5,NULL,M1
869,5f2bca2aba0be61b0c1cda89,NULL,M1
870,5f2bca2aba0be61b0c1cdaca,NULL,M1
871,5f2bca2aba0be61b0c1cdae0,NULL,M1
873,5f2bca2aba0be61b0c1cdaf2,NULL,M1
874,5f2bca2aba0be61b0c1cdafd,NULL,M1
879,5f2bca2aba0be61b0c1cdb27,NULL,M1
881,5f2bca2aba0be61b0c1cdb3c,NULL,M1
